"isolate","model_type","n0","lag","mumax","nmax","temp","aic","bic","fit","method"
"S12-0116","gompertz",1.93137031015022,3.26966229069284,1.33738410375702,8.65536103864993,"10",7.41369390511282,"8.39981679179392","yes","nls_lm"
"S12-0132","gompertz",2.04844146745126,5.5944862064203,4.10510734204068,7.81270080138957,"10",22.7245711455381,"24.7140475095299","yes","nls_lm"
"S12-0141","gompertz",2.75431331867462,0,1.07843158412714,8.18013178940973,"10",27.5110624179346,"29.5005387819265","yes","nls_lm"
"S12-0166","gompertz",1.43265518434515,0.674346475213425,2.90981558832583,8.03441337994594,"10",3.92839388764285,"5.44131935261308","yes","nls_lm"
"S12-0180","gompertz",1.92657869533733,6.45146640972816,2.7189831160571,5.45673914663366,"10",19.5694794995525,"20.5556023862336","yes","nls_lm"
"S12-0184","buchanan",1.73208415244872,5.92740759243757,1.58149694998798,7.58011266713212,"10",-43.0167796989497,"-42.0306568122686","yes","nls_lm"
"S12-0116","buchanan",2.47983667392012,4.26095335937612,0.693531303548507,6.43130306909399,"6",62.5941407255944,"69.922820239593","yes","nls_lm"
"S12-0132","buchanan",3.10574437018208,2.06192547519108,0.769789412619989,7.45948075724891,"6",103.692042226663,"110.861978249089","yes","nls_lm"
"S12-0141","baranyi",3.25503711271625,5.06760161183787,1.19894492035169,7.34848173481586,"6",61.8795865454096,"69.362124352742","yes","nls_lm"
"S12-0166","gompertz",3.10679477607881,0,0.739219252961189,8.58464045837481,"6",106.013292568485,"114.331100799134","yes","nls_lm"
"S12-0180","baranyi",2.50739766652732,14.7409761466525,0.503656195608411,6,"6",96.3723003057707,"104.289894998051","yes","nls_lm"
"S12-0184","buchanan",2.60911066491019,3.00000027908972,0.373965980791184,6.30800079936933,"6",115.685562694865,"123.740152258086","yes","nls_lm"
"S12-0132","buchanan",1.85921178864932,2.11649404706502,1.12453445478887,8.4103793991646,"10",34.0641718204658,"36.0536481844577","yes","nls_lm"
