"isolate","n0","lag","mumax","nmax","temp"
"S12-0116",2.17609125905568,4,0.282008229591985,6.39237280625829,"6"
"S12-0132",2.89714505071469,3,0.299811492710103,7.43819346395348,"6"
"S12-0141",2.86735333044265,3,0.30752871176953,7.45217944763285,"6"
"S12-0166",2.98528142337205,1,0.191796764188721,8.69144056502799,"6"
"S12-0180",1.72656512777484,2,0.114073487501587,5.20904382936046,"6"
"S12-0184",1.93050507064721,6,0.233047567562421,6.06527947511311,"6"
"S12-0116",1.74036268949424,4,0.389287971329217,8.29512963862329,"10"
"S12-0132",1.69897000433602,1,0.372313879266445,8.46763864569585,"10"
"S12-0141",2.77815125038364,1,0.292453015640612,8.47549194894758,"10"
"S12-0166",1.74036268949424,2,0.636199396269629,8.20750812631924,"10"
"S12-0180",1.69897000433602,9,0.229658103670676,6.12338771043052,"10"
"S12-0184",1.69897000433602,9,0.414453267715816,7.58011266713212,"10"
