"isolate","n0","lag","mumax","nmax","temp","rep"
"S12-0116",2.64345267648619,"4",0.282008229591985,6.77759220706542,"6",1
"S12-0116",2,"9",0.233629398439648,5.87604554325233,"6",2
"S12-0116",1.65321251377534,"9",0.251761234750098,7.25333800532611,"6",3
"S12-0132",3.64345267648619,"3",0.299811492710103,8.06401223431053,"6",1
"S12-0132",3.19312459835446,"4",0.202493569360409,7.87394990173009,"6",2
"S12-0132",1.69897000433602,"9",0.320079880835266,7.38750123350132,"6",3
"S12-0141",2.64345267648619,"3",0.307528711769529,8.18281559332871,"6",1
"S12-0141",2.69897000433602,"6",0.592362871452843,7.7279353589929,"6",2
"S12-0141",1.69897000433602,"6",0.417173017672463,7.09875185341177,"6",3
"S12-0166",3.27646180417324,"1",0.191796764188721,8.76050231388794,"6",1
"S12-0166",3.83378437465648,"4",0.193234967305156,8.70158097052582,"6",2
"S12-0166",1.74036268949424,"1",0.291120758364059,8.99680743803734,"6",3
"S12-0180",1.65321251377534,"9",0.114073487501587,6.16379326691288,"6",1
"S12-0180",1.74036268949424,"12",0.0375437494105609,4.40959501939682,"6",2
"S12-0180",1.69897000433602,"12",0.109006949339415,6.31555893462078,"6",3
"S12-0184",1.74036268949424,"12",0.107786861933557,5.78038950849682,"6",1
"S12-0184",1.69897000433602,"4",0.179760041295086,6.83561209024184,"6",2
"S12-0184",1.69897000433602,"6",0.188820969878967,6.59596333312122,"6",3
"S12-0116",1.74036268949424,"4",0.389287971329216,8.29512963862329,"10",1
"S12-0132",1.69897000433602,"6",0.378014468266919,8.46763864569585,"10",1
"S12-0141",2.77815125038364,"1",0.292453015640612,8.47549194894758,"10",1
"S12-0166",1.74036268949424,"2",0.63619939626963,8.20750812631924,"10",1
"S12-0180",1.69897000433602,"9",0.229658103670675,6.12338771043052,"10",1
"S12-0184",1.69897000433602,"9",0.414453267715817,7.58011266713212,"10",1
