"day","mean","sd_total_count","mode","median"
1,5.09749262507308,0.0822002947005864,"5.1",5.09776670441692
2,5.16893297600981,0.11144667656145,"5.1",5.15370397478205
3,5.29509541680952,0.158783192031606,"5.2",5.27387961397104
4,5.49455402803807,0.214098382380273,"5.4",5.4740260638038
5,5.77004005069371,0.263236045249762,"5.7",5.7587486326194
6,6.10218847536474,0.303866624180686,"6.1",6.11368065843716
7,6.45700626891675,0.341924794121114,"6.5",6.49388834827038
8,6.79830238981634,0.381421479578811,"6.8",6.85421440020891
9,7.09919388622541,0.422005383265131,"7.1",7.17009917594931
10,7.34780658359799,0.460463644991897,"7.4",7.42644658283771
11,7.54499369109999,0.494464064844212,"7.6",7.63610688852852
12,7.69828583525606,0.523170404975645,"7.8",7.80139360479812
13,7.81708310943237,0.54515577308476,"7.9",7.9251229175896
14,7.91037077470595,0.556511956676313,"8",8.01849590848628
15,7.98560429221707,0.552928285501944,"8.1",8.09230936716152
16,8.04796261461444,0.53431989790683,"8.2",8.15012622752321
17,8.10045254883391,0.505915160727204,"8.2",8.19492104700706
18,8.14481718503094,0.474782223486159,"8.2",8.22972752849924
19,8.18244962758633,0.446003205158145,"8.3",8.25682446903573
20,8.21474107834784,0.421616636346952,"8.3",8.27912277192472
21,8.2429240338844,0.401869071997188,"8.3",8.29691599654346
22,8.26785051641014,0.386491539317903,"8.3",8.31242189198203
